sp,ponca,puma,pardalis
Large oposs,6.48,8.38,6.91
Mouse oposs,0,0,5.99
Short-tailed op,0,8.3,13.98
M. tridactyla,6.2,0,0
T. tetradactyla,3.7,10.3,7
Bradypus spp,2.1,0,6
Choloepus spp,0,0,0
E. sexcintus,0,0,7
C. unicinctus,0,24.9,0
Dasypus spp,10.38,11.42,4.7
Capuchins,1.7,5.05,0
Saimiri spp,0,0,0.75
Micos,0,0,0
Tamarins,0,0,0.75
Callicebus spp,0,0,0
Ateles spp,5,16.6,0
Alouatta spp,0,0,8.95
Rabbits,5.1,4.4,5.47
Chiroptera,0,5.32,0.75
T. terrrestris,0.7,0,0
P. tajacu,30.28,16.68,0
T. pecari,19.58,3.34,0
Blastocerus,7.2,0,0
Mazama spp,12.07,5.7,1.16
O. virginianus,7.2,9.55,0
Squirrels,3.44,0,3.38
Rats,2.9,18.32,17.9
Cavia spp,0,0,1.27
C. paca,5.26,15.14,0.75
Agoutis,8.45,16.39,3.29
Myoprocta spp,0,0,3.76
Capybara,9.68,23.1,0
Porcupines,0,0,4.19
